Intel(R) Core(TM)2 CPU         T5600  @ 1.83GHz
IA32_VMX_BASIC                 (0x480): 0x001a040000000007
IA32_VMX_PINBASED_CTLS         (0x481): 0x0000001f00000016
IA32_VMX_PROCBASED_CTLS        (0x482): 0x77b9fffe0401e172
IA32_VMX_EXIT_CTLS             (0x483): 0x0003efff00036dff
IA32_VMX_ENTRY_CTLS            (0x484): 0x00001fff000011ff
IA32_VMX_MSR_MISC              (0x485): 0x00000000000403c0
IA32_VMX_CR0_FIXED0            (0x486): 0x0000000080000021
IA32_VMX_CR0_FIXED1            (0x487): 0x00000000ffffffff
IA32_VMX_CR4_FIXED0            (0x488): 0x0000000000002000
IA32_VMX_CR4_FIXED1            (0x489): 0x00000000000027ff
IA32_VMX_VMCS_ENUM             (0x48a): 0x000000000000002c
     1 - 1760
     2 - 1727
     4 - 1707
     8 - 1695
    16 - 1691
    32 - 1690
    64 - 1687
   128 - 1690
   256 - 1690
   512 - 1688
  1024 - 1688
  2048 - 1683
  4096 - 1681
  8192 - 1681
 16384 - 1681
 32768 - 1681
 65536 - 1681
131072 - 1681
262144 - 1681
524288 - 1681
